question,answer,context,difficulty
Pipeline parallelism is useful for what kind of workload?,Streaming data where tasks perform different stages sequentially on items.,Patterns & Paradigms,Medium
What does reactive programming emphasize?,Data flows and the propagation of change rather than explicit threads.,Patterns & Paradigms,Medium
Define embarrassingly parallel problem.,One that can be easily separated into independent tasks with no communication.,Patterns & Paradigms,Medium
Which Python module provides higher‑level concurrency than threading?,`concurrent.futures` with ThreadPoolExecutor and ProcessPoolExecutor.,Languages & Libraries,Medium
What is OpenMP primarily used for?,Directive‑based shared‑memory parallelism in C/C++/Fortran.,Languages & Libraries,Medium
Node.js achieves concurrency via what model?,Single‑threaded event loop with asynchronous callbacks/promises.,Languages & Libraries,Medium
C# async-await relies on what abstraction?,Tasks representing eventual results of asynchronous operations.,Languages & Libraries,Medium
CUDA enables what kind of concurrency?,Massive data‑parallel GPU threads.,Languages & Libraries,Medium
What is systematic concurrency testing?,Exploring different thread schedules systematically to find bugs.,Testing & Debugging,Medium
Lincheck and jcstress are tools for what language?,Java/Kotlin concurrency testing.,Testing & Debugging,Medium
What is ThreadSanitizer?,Dynamic data race detector for C/C++ and Go.,Testing & Debugging,Medium
What is the purpose of happens‑before graph visualizers?,To debug ordering and synchronization issues.,Testing & Debugging,Medium
Stress testing under high load reveals what?,Timing‑dependent bugs that appear rarely under normal conditions.,Testing & Debugging,Medium
Lamport clocks capture what?,A logical time order of events in distributed systems.,Advanced Models,Medium
Vector clocks improve over Lamport clocks how?,"They detect causal relationships, not just ordering.",Advanced Models,Medium
What is quorum consensus?,Majority agreement in distributed systems to ensure consistency.,Advanced Models,Medium
The CAP theorem states what?,"A distributed system can only guarantee two of Consistency, Availability, and Partition tolerance.",Advanced Models,Medium
CRDTs provide what benefit?,Conflict‑free replicated data types converge automatically without coordination.,Advanced Models,Medium
What scheduler maps user threads to kernel threads many‑to‑one?,Green thread scheduler in some runtimes like early Java VM.,Basic Concepts,Medium
What is heisenbug in concurrent code?,"A bug that disappears or alters behavior when one attempts to study it, often due to timing changes.",Hazards,Medium
Why must condition variable waits occur in a loop?,To recheck the predicate because of spurious wake‑ups or lost signals.,Semaphores & Monitors,Medium
What is zero‑copy message transfer?,Passing messages by reference or shared memory to avoid copying payload data.,Message Passing,Medium
Transactional actor systems combine what two ideas?,Actor message isolation with software transactional memory for state updates.,Patterns & Paradigms,Medium
